Time,Sample number,Temperature (°C),Humidity (%RH),Sensor response (Ohm),PM response,Temperature MFC (°C),Nanofiber current (mA),Nanofiber voltage (V)
2020-07-10 17:37:57.947714,0,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:58.157904,1,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:58.419377,2,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:58.685144,3,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:58.919590,4,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:59.185559,5,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:59.438968,6,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:59.710531,7,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:37:59.958945,8,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:38:00.222790,9,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:38:00.429791,10,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:38:00.689624,11,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:38:00.928391,12,20.9,25.5,,,22.36,00.0001E-03,-04.096E+00
2020-07-10 17:38:01.176124,13,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:38:01.463312,14,20.9,25.5,,,22.36,00.0001E-03,-04.096E+00
2020-07-10 17:38:01.703348,15,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:38:01.973291,16,20.9,25.5,,,22.35,00.0001E-03,-04.096E+00
2020-07-10 17:38:02.202183,17,20.9,25.5,,,22.36,00.0001E-03,-04.096E+00
2020-07-10 17:38:02.473684,18,20.9,25.5,,,22.36,00.0001E-03,-04.096E+00
2020-07-10 17:38:02.707170,19,20.9,25.5,,,22.36,00.0001E-03,-04.096E+00
