Time,Sample number,Temperature,Humidity,Sensor response,PM response,Temperature MFC
2020-05-28 09:36:57.784939,0,28,31,57,38,36
2020-05-28 09:36:57.785013,1,12,69,50,61,20
2020-05-28 09:36:57.785034,2,18,65,1,52,29
2020-05-28 09:36:57.785050,3,25,44,64,27,34
2020-05-28 09:36:57.785065,4,33,62,78,94,3
2020-05-28 09:36:57.785079,5,12,59,90,94,24
2020-05-28 09:36:57.785093,6,35,74,96,81,27
2020-05-28 09:36:57.785108,7,8,23,19,69,30
2020-05-28 09:36:57.785122,8,9,52,24,2,34
2020-05-28 09:36:57.785136,9,17,30,89,93,19
2020-05-28 09:36:57.785150,10,26,33,92,70,33
2020-05-28 09:36:57.785164,11,20,22,11,95,4
2020-05-28 09:36:57.785178,12,34,90,77,6,32
2020-05-28 09:36:57.785193,13,10,70,71,50,30
2020-05-28 09:36:57.785207,14,38,81,14,69,1
2020-05-28 09:36:57.785221,15,23,53,93,90,31
2020-05-28 09:36:57.785235,16,26,16,71,22,13
2020-05-28 09:36:57.785249,17,1,16,65,32,20
2020-05-28 09:36:57.785263,18,1,31,47,25,1
2020-05-28 09:36:57.785278,19,24,45,61,17,14
2020-05-28 09:36:57.785292,20,38,44,21,18,12
2020-05-28 09:36:57.785327,21,1,37,93,99,23
2020-05-28 09:36:57.785359,22,1,90,43,97,38
2020-05-28 09:36:57.785376,23,18,38,6,51,38
2020-05-28 09:36:57.785391,24,24,46,69,18,2
2020-05-28 09:36:57.785411,25,0,19,69,6,14
2020-05-28 09:36:57.785445,26,3,36,48,72,26
2020-05-28 09:36:57.785464,27,20,19,63,21,2
2020-05-28 09:36:57.785479,28,17,84,94,98,3
2020-05-28 09:36:57.785493,29,19,79,22,16,19
2020-05-28 09:36:57.785507,30,25,61,79,54,25
2020-05-28 09:36:57.785530,31,26,90,0,91,6
2020-05-28 09:36:57.785564,32,17,34,60,8,6
2020-05-28 09:36:57.785594,33,38,23,12,49,9
2020-05-28 09:36:57.785617,34,11,42,48,29,16
2020-05-28 09:36:57.785645,35,16,45,69,6,14
2020-05-28 09:36:57.785668,36,23,67,82,66,18
2020-05-28 09:36:57.785689,37,30,62,2,34,32
2020-05-28 09:36:57.785712,38,24,38,42,13,29
2020-05-28 09:36:57.785737,39,21,22,63,34,5
2020-05-28 09:36:57.785766,40,20,63,58,31,3
2020-05-28 09:36:57.785790,41,24,49,3,65,6
